@relation train

@attribute R REAL
@attribute G REAL
@attribute B REAL
@attribute G1 REAL
@attribute G2 REAL
@attribute x_region REAL
@attribute y_region REAL
@attribute num_pixels_regions REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@data
227.98,236.26,243.02,61.141,4.6856,277.24,16.601,617,0,1
233.57,241.09,249.06,58.295,0.82745,251.54,56.81,395,0,1
235.91,242.2,250.29,56.047,0.86737,215.7,101.88,136,0,1
235.77,242.27,249.59,73.499,0.26743,220.85,24.702,4044,0,1
239.15,243.9,250.51,76.134,0.24527,166.74,59.915,4635,1,1
239.15,243.9,250.51,76.134,0.24527,166.74,59.915,4635,0,1
241.6,245.37,250.85,87.007,0.064346,102.96,48.573,941,0,1
242.28,245.4,251.53,77.447,0.22725,82.094,81.625,4528,0,1
239.15,243.9,250.51,76.134,0.24527,166.74,59.915,4635,0,1
241.49,244.68,251.4,75.828,0.40918,138.01,96.084,667,0,1
242.28,245.4,251.53,77.447,0.22725,82.094,81.625,4528,1,1
241.42,244.26,251.12,74.463,0.31743,104.61,118.88,329,0,1
243.37,246.15,251.28,71.371,0.43424,48.52,128.51,344,1,1
244.18,247.18,252.18,73.591,0.19719,10.311,109.85,894,0,1
244.05,247.05,252.05,80.936,0.10833,21.788,62.668,566,0,1
242.14,245.64,251.21,79.667,0.1519,66.289,22.507,3963,0,1
237.28,230.51,222.47,31.827,7.4853,22.525,215.84,385,1,1
244.32,247.76,252.52,70.076,0.27939,23.059,229.84,393,1,1
243.4,248.27,253.13,73.046,0.37389,20.456,261.33,456,0,1
242.99,248.01,253.51,70.13,0.4976,19.68,282.54,920,0,1
234.46,237.79,241.38,66.17,3.6935,26.556,320.54,1045,0,1
241.38,246.35,252.23,78.297,0.23432,26.572,344.94,1313,1,1
240.75,245.61,250.88,77.613,0.18855,24.861,387.36,1201,0,1
240.75,245.61,250.88,77.613,0.18855,24.861,387.36,1201,0,1
235.84,239.7,244.47,68.913,1.9974,29.295,443.76,1572,0,1
235.84,239.7,244.47,68.913,1.9974,29.295,443.76,1572,0,1
238.26,243.33,248.96,71.373,0.97011,22.684,474.32,1055,0,1
230.06,232.87,236.11,49.658,5.1666,49.185,492.81,541,1,1
236.36,242.04,248.81,75.165,0.29509,31.83,560.25,728,0,1
236.36,242.04,248.81,75.165,0.29509,31.83,560.25,728,1,1
237.04,241.3,247.64,73.468,0.24158,18.519,581.92,1723,0,1
235.29,240.65,247.97,62.421,0.6377,32.601,616.68,393,0,1
233.96,238.47,244.24,64.955,2.849,30.875,661.94,837,0,1
232.22,239.21,246.87,59.42,0.76656,54.936,681,203,0,1
235.48,239.57,246.01,76.064,0.14151,7.7565,721.61,423,0,1
223,227.61,233.31,44.977,7.38,75.359,723.68,251,0,1
234.32,239.3,245.31,80.986,0.16589,28.402,748.01,1355,0,1
231.15,235.68,243.13,55.04,0.69524,84.148,762.47,446,1,1
232.6,237,243.96,68.132,0.38875,69.322,783.62,1624,0,1
102.95,108.44,69.122,-3.9845,28.413,391.04,81.26,123,39,2
97,103.19,54.75,-13.762,34.241,443.16,69.031,32,38,2
87.467,92.083,48.2,-15.273,29.409,488.13,67.6,60,56,2
95.25,102.75,36.938,-21.996,33.971,536.5,69.5,16,63,2
121.51,107.86,45.863,-2.1793,34.794,579.43,71,51,31,2
77.671,76.908,29.855,-11.649,22.512,587.24,51.039,76,18,2
65.377,83.987,46.903,19.715,26.886,589.44,17.974,154,44,2
37.208,43.208,27.158,7.1758,24.596,551.68,17.762,101,30,2
90.227,99.841,49.5,-11.12,19.618,553.86,42.864,44,16,2
91.206,90.691,51.99,-4.674,28.832,518.46,46.474,97,26,2
34.038,37.808,30.038,-3.558,23.273,519.5,16.615,26,21,2
115.5,99.929,70.667,-1.9556,74.956,490.6,20.405,42,110,2
101.57,103.43,62.922,-24.487,39.931,485.34,53.289,90,42,2
68.182,74.668,46.421,14.242,26.456,450,51.953,214,65,2
75.9,86.36,56.5,-2.0625,41.29,464.38,22.24,50,86,2
79.582,85.478,58.119,6.5671,25.558,438.22,18.03,67,21,2
100.14,112.5,81.694,13.834,25.91,415.51,53.342,111,33,2
115.54,110.3,72.263,5.1402,26.489,418.14,23.544,57,48,2
100.37,109.49,57.486,17.024,30.278,256.43,796.94,35,63,2
79.093,96.224,73.028,4.3657,28.608,275.3,774.37,107,27,2
75.542,89.61,58.797,2.7279,34.808,299.19,760.59,59,63,2
66.123,69.246,41.035,0.74737,20.683,336.18,764.98,57,14,2
54.481,55.532,38.671,3.8693,20.693,361.52,763.73,79,48,2
44.112,54.252,40.196,-4.0333,20.549,392.59,782.15,107,42,2
24.287,31.517,20.103,15.265,10.964,369.72,789.31,87,17,2
40.647,56.176,31.618,20.118,23.815,321.09,785.94,34,11,2
65.368,80.895,48.237,37.919,21.258,299.76,793.97,38,21,2
244.75,219.58,184.67,-19.218,8.7389,71.75,160.75,12,9,3
235.79,208.18,173.32,3.5805,14.322,29.315,170.75,73,19,3
234.65,203.02,168.19,17.224,11.869,32.115,195.77,52,14,3
241.65,215.93,183.51,6.1623,12.423,60.098,176.92,92,16,3
236.95,212.98,178.14,2.3782,11.481,162.62,135.64,42,24,3
242.23,219.84,188.71,1.0439,10.809,214.32,131.74,119,8,3
240.68,219.64,186.99,4.5218,17.414,210.39,184.93,85,22,3
246.41,226.27,195.12,7.1554,9.8987,211.93,239.84,120,20,3
243.91,219.2,185,0.83029,8.6863,171.97,254.69,35,9,3
244.7,219.24,186.75,0.51715,14.181,173.81,302.47,83,29,3
241.2,220.02,191.43,6.2106,13.875,217.75,290.95,93,15,3
242.13,214.64,180.51,4.2977,15.009,211.96,360.72,69,14,3
234.58,210.38,175.81,-10.947,18.906,214.38,416.81,26,27,3
233.94,207.77,175.7,2.182,21.391,218.98,460.44,64,56,3
242.89,221.66,191.85,2.269,16.158,176.54,449.15,97,21,3
242.47,218.27,185.52,-0.14302,12.624,175.32,513.64,81,14,3
239.43,216.13,186.05,1.5112,16.003,220.87,519.39,98,23,3
238.56,213.98,180.94,-4.7114,16.705,218.1,567.31,48,22,3
239.7,218.09,184.57,7.6591,15.487,216.95,634.5,44,7,3
237.99,214.22,177.86,-3.5482,16.576,220.77,689.4,116,17,3
232.85,207.52,169,-8.0184,23.402,178.33,687.3,27,19,3
240.57,219.46,187.52,-8.4959,12.717,212.41,729.46,56,17,3
221.46,191.2,160.02,0.37339,16.188,262.18,698.38,56,32,3
197.98,167.19,137.93,-0.25528,22.258,316.84,700.69,89,59,3
180.43,150.73,123.05,-6.0826,16.962,355.77,704.13,56,15,3
152.39,130.47,110.83,9.7284,8.1489,394.38,719.15,72,9,3
121,97.11,79,8.3026,19.585,444.6,733.25,73,30,3
204.43,174.11,144.49,-2.5537,19.801,321.08,663.91,65,12,3
229.02,201.12,168.68,10.09,16.413,258.17,660.45,103,22,3
204.94,170.1,135,7.4907,18.457,381.55,624,203,32,3
220.21,185.11,153.68,9.415,16.431,389.77,581.63,56,20,3
218.6,199.06,170.76,4.7868,13.292,388.54,548.02,85,8,3
226.17,198.7,163.09,-8.2019,19.517,334.52,531,54,39,3
238.92,214.17,178.69,2.2895,16.393,267.97,528.47,36,16,3
230.7,202.91,166.64,7.5415,14.494,281.24,501.34,70,23,3
232.8,202,159.13,5.6746,14.975,353.17,504.7,30,28,3
216.25,178.86,143.83,-11.111,18.941,418.3,508.79,71,29,3
200.32,165.36,136.08,10.567,23.835,492.64,513.32,25,21,3
181.69,151.17,126.38,11.928,31.307,567.21,510.31,29,25,3
182.59,154.95,126.04,-0.40393,20.73,577.72,563.32,75,20,3
178.71,152.29,124,11.883,15.926,577.79,615.71,24,22,3
159.45,131.96,104.53,-6.358,18.383,573.41,687.43,51,12,3
141.65,117.49,92.912,0.30598,11.276,570.04,750.68,57,9,3
189,152.47,122.31,-0.9755,23.027,532.29,543.16,49,15,3
198.03,167.17,134.45,-2.5337,26.304,442.83,534.62,29,24,3
209.98,174.2,135.25,3.946,15.284,569.9,436.51,99,33,3
209.05,170.55,134.43,3.0171,14.578,531.48,442.82,84,13,3
204.2,170.73,137.94,-3.9267,25.09,461.61,459.3,84,45,3
207.68,177.68,145.36,-20.098,26.589,412.86,430.27,22,47,3
222.98,190.16,150.88,1.9743,26.266,350.71,454.96,49,30,3
223.47,192.47,153.09,-1.753,26.886,374.39,423.37,57,47,3
233.5,203.35,165.89,-3.9316,20.461,305.22,437.74,46,10,3
