@RELATION train_nocolour

@attribute G1 REAL
@attribute G2 REAL
@attribute x_region REAL
@attribute y_region REAL
@attribute num_pixels_regions REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@DATA
61.141,46.856,277.24,16.601,617,0,1
58.295,0.82745,251.54,56.81,395,0,1
56.047,0.86737,215.7,101.88,136,0,1
73.499,0.26743,220.85,24.702,4044,0,1
76.134,0.24527,166.74,59.915,4635,1,1
76.134,0.24527,166.74,59.915,4635,0,1
87.007,0.064346,102.96,48.573,941,0,1
77.447,0.22725,82.094,81.625,4528,0,1
76.134,0.24527,166.74,59.915,4635,0,1
75.828,0.40918,138.01,96.084,667,0,1
77.447,0.22725,82.094,81.625,4528,1,1
74.463,0.31743,104.61,118.88,329,0,1
71.371,0.43424,48.52,128.51,344,1,1
73.591,0.19719,10.311,109.85,894,0,1
80.936,0.10833,21.788,62.668,566,0,1
79.667,0.1519,66.289,22.507,3963,0,1
31.827,74.853,22.525,215.84,385,1,1
70.076,0.27939,23.059,229.84,393,1,1
73.046,0.37389,20.456,261.33,456,0,1
70.13,0.4976,19.68,282.54,920,0,1
66.17,36.935,26.556,320.54,1045,0,1
78.297,0.23432,26.572,344.94,1313,1,1
77.613,0.18855,24.861,387.36,1201,0,1
77.613,0.18855,24.861,387.36,1201,0,1
68.913,19.974,29.295,443.76,1572,0,1
68.913,19.974,29.295,443.76,1572,0,1
71.373,0.97011,22.684,474.32,1055,0,1
49.658,51.666,49.185,492.81,541,1,1
75.165,0.29509,31.83,560.25,728,0,1
75.165,0.29509,31.83,560.25,728,1,1
73.468,0.24158,18.519,581.92,1723,0,1
62.421,0.6377,32.601,616.68,393,0,1
64.955,2.849,30.875,661.94,837,0,1
59.42,0.76656,54.936,681,203,0,1
76.064,0.14151,77.565,721.61,423,0,1
44.977,7.38,75.359,723.68,251,0,1
80.986,0.16589,28.402,748.01,1355,0,1
55.04,0.69524,84.148,762.47,446,1,1
68.132,0.38875,69.322,783.62,1624,0,1
-39.845,28.413,391.04,81.26,123,39,2
-13.762,34.241,443.16,69.031,32,38,2
-15.273,29.409,488.13,67.6,60,56,2
-21.996,33.971,536.5,69.5,16,63,2
-21.793,34.794,579.43,71,51,31,2
-11.649,22.512,587.24,51.039,76,18,2
19.715,26.886,589.44,17.974,154,44,2
71.758,24.596,551.68,17.762,101,30,2
-11.12,19.618,553.86,42.864,44,16,2
-4.674,28.832,518.46,46.474,97,26,2
-3.558,23.273,519.5,16.615,26,21,2
-19.556,74.956,490.6,20.405,42,110,2
-24.487,39.931,485.34,53.289,90,42,2
14.242,26.456,450,51.953,214,65,2
-20.625,41.29,464.38,22.24,50,86,2
65.671,25.558,438.22,18.03,67,21,2
13.834,25.91,415.51,53.342,111,33,2
51.402,26.489,418.14,23.544,57,48,2
17.024,30.278,256.43,796.94,35,63,2
43.657,28.608,275.3,774.37,107,27,2
27.279,34.808,299.19,760.59,59,63,2
0.74737,20.683,336.18,764.98,57,14,2
38.693,20.693,361.52,763.73,79,48,2
-40.333,20.549,392.59,782.15,107,42,2
15.265,10.964,369.72,789.31,87,17,2
20.118,23.815,321.09,785.94,34,11,2
37.919,21.258,299.76,793.97,38,21,2
-19.218,87.389,71.75,160.75,12,9,3
35.805,14.322,29.315,170.75,73,19,3
17.224,11.869,32.115,195.77,52,14,3
61.623,12.423,60.098,176.92,92,16,3
23.782,11.481,162.62,135.64,42,24,3
10.439,10.809,214.32,131.74,119,8,3
45.218,17.414,210.39,184.93,85,22,3
71.554,98.987,211.93,239.84,120,20,3
0.83029,86.863,171.97,254.69,35,9,3
0.51715,14.181,173.81,302.47,83,29,3
62.106,13.875,217.75,290.95,93,15,3
42.977,15.009,211.96,360.72,69,14,3
-10.947,18.906,214.38,416.81,26,27,3
2.182,21.391,218.98,460.44,64,56,3
2.269,16.158,176.54,449.15,97,21,3
-0.14302,12.624,175.32,513.64,81,14,3
15.112,16.003,220.87,519.39,98,23,3
-47.114,16.705,218.1,567.31,48,22,3
76.591,15.487,216.95,634.5,44,7,3
-35.482,16.576,220.77,689.4,116,17,3
-80.184,23.402,178.33,687.3,27,19,3
-84.959,12.717,212.41,729.46,56,17,3
0.37339,16.188,262.18,698.38,56,32,3
-0.25528,22.258,316.84,700.69,89,59,3
-60.826,16.962,355.77,704.13,56,15,3
97.284,81.489,394.38,719.15,72,9,3
83.026,19.585,444.6,733.25,73,30,3
-25.537,19.801,321.08,663.91,65,12,3
10.09,16.413,258.17,660.45,103,22,3
74.907,18.457,381.55,624,203,32,3
9.415,16.431,389.77,581.63,56,20,3
47.868,13.292,388.54,548.02,85,8,3
-82.019,19.517,334.52,531,54,39,3
22.895,16.393,267.97,528.47,36,16,3
75.415,14.494,281.24,501.34,70,23,3
56.746,14.975,353.17,504.7,30,28,3
-11.111,18.941,418.3,508.79,71,29,3
10.567,23.835,492.64,513.32,25,21,3
11.928,31.307,567.21,510.31,29,25,3
-0.40393,20.73,577.72,563.32,75,20,3
11.883,15.926,577.79,615.71,24,22,3
-6.358,18.383,573.41,687.43,51,12,3
0.30598,11.276,570.04,750.68,57,9,3
-0.9755,23.027,532.29,543.16,49,15,3
-25.337,26.304,442.83,534.62,29,24,3
3.946,15.284,569.9,436.51,99,33,3
30.171,14.578,531.48,442.82,84,13,3
-39.267,25.09,461.61,459.3,84,45,3
-20.098,26.589,412.86,430.27,22,47,3
19.743,26.266,350.71,454.96,49,30,3
-1.753,26.886,374.39,423.37,57,47,3
-39.316,20.461,305.22,437.74,46,10,3
13.148,60.331,276.88,464.52,25,8,3
0.59157,18.591,242.95,444.67,21,26,3
-1.498,94.667,239.77,309.52,52,19,3
24.792,15.526,254.61,253.35,31,25,3
-11.459,16.224,280.28,234.13,39,26,3
3.749,18.049,273.53,286.88,17,25,3
77.074,78.037,388.3,322.22,23,7,3
57.645,11.093,382.37,384.47,19,16,3
29.845,21.041,434.28,290.66,47,18,3
0.61645,19.969,420.33,251.38,60,33,3
11.043,10.944,382.13,190.77,96,13,3
12.335,4.396,347.42,186.37,89,10,3
50.756,14.685,349.73,137.71,63,18,3
48.867,23.02,288.97,133.52,58,24,3
