@RELATION train_nogradient

@attribute R REAL
@attribute G REAL
@attribute B REAL
@attribute x_region REAL
@attribute y_region REAL
@attribute num_pixels_regions REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@DATA
227.98,236.26,243.02,277.24,16.601,617,0,1
233.57,241.09,249.06,251.54,56.81,395,0,1
235.91,242.2,250.29,215.7,101.88,136,0,1
235.77,242.27,249.59,220.85,24.702,4044,0,1
239.15,243.9,250.51,166.74,59.915,4635,1,1
239.15,243.9,250.51,166.74,59.915,4635,0,1
241.6,245.37,250.85,102.96,48.573,941,0,1
242.28,245.4,251.53,82.094,81.625,4528,0,1
239.15,243.9,250.51,166.74,59.915,4635,0,1
241.49,244.68,251.4,138.01,96.084,667,0,1
242.28,245.4,251.53,82.094,81.625,4528,1,1
241.42,244.26,251.12,104.61,118.88,329,0,1
243.37,246.15,251.28,48.52,128.51,344,1,1
244.18,247.18,252.18,10.311,109.85,894,0,1
244.05,247.05,252.05,21.788,62.668,566,0,1
242.14,245.64,251.21,66.289,22.507,3963,0,1
237.28,230.51,222.47,22.525,215.84,385,1,1
244.32,247.76,252.52,23.059,229.84,393,1,1
243.4,248.27,253.13,20.456,261.33,456,0,1
242.99,248.01,253.51,19.68,282.54,920,0,1
234.46,237.79,241.38,26.556,320.54,1045,0,1
241.38,246.35,252.23,26.572,344.94,1313,1,1
240.75,245.61,250.88,24.861,387.36,1201,0,1
240.75,245.61,250.88,24.861,387.36,1201,0,1
235.84,239.7,244.47,29.295,443.76,1572,0,1
235.84,239.7,244.47,29.295,443.76,1572,0,1
238.26,243.33,248.96,22.684,474.32,1055,0,1
230.06,232.87,236.11,49.185,492.81,541,1,1
236.36,242.04,248.81,31.83,560.25,728,0,1
236.36,242.04,248.81,31.83,560.25,728,1,1
237.04,241.3,247.64,18.519,581.92,1723,0,1
235.29,240.65,247.97,32.601,616.68,393,0,1
233.96,238.47,244.24,30.875,661.94,837,0,1
232.22,239.21,246.87,54.936,681,203,0,1
235.48,239.57,246.01,77.565,721.61,423,0,1
223,227.61,233.31,75.359,723.68,251,0,1
234.32,239.3,245.31,28.402,748.01,1355,0,1
231.15,235.68,243.13,84.148,762.47,446,1,1
232.6,237,243.96,69.322,783.62,1624,0,1
102.95,108.44,69.122,391.04,81.26,123,39,2
97,103.19,54.75,443.16,69.031,32,38,2
87.467,92.083,48.2,488.13,67.6,60,56,2
95.25,102.75,36.938,536.5,69.5,16,63,2
121.51,107.86,45.863,579.43,71,51,31,2
77.671,76.908,29.855,587.24,51.039,76,18,2
65.377,83.987,46.903,589.44,17.974,154,44,2
37.208,43.208,27.158,551.68,17.762,101,30,2
90.227,99.841,49.5,553.86,42.864,44,16,2
91.206,90.691,51.99,518.46,46.474,97,26,2
34.038,37.808,30.038,519.5,16.615,26,21,2
115.5,99.929,70.667,490.6,20.405,42,110,2
101.57,103.43,62.922,485.34,53.289,90,42,2
68.182,74.668,46.421,450,51.953,214,65,2
75.9,86.36,56.5,464.38,22.24,50,86,2
79.582,85.478,58.119,438.22,18.03,67,21,2
100.14,112.5,81.694,415.51,53.342,111,33,2
115.54,110.3,72.263,418.14,23.544,57,48,2
100.37,109.49,57.486,256.43,796.94,35,63,2
79.093,96.224,73.028,275.3,774.37,107,27,2
75.542,89.61,58.797,299.19,760.59,59,63,2
66.123,69.246,41.035,336.18,764.98,57,14,2
54.481,55.532,38.671,361.52,763.73,79,48,2
44.112,54.252,40.196,392.59,782.15,107,42,2
24.287,31.517,20.103,369.72,789.31,87,17,2
40.647,56.176,31.618,321.09,785.94,34,11,2
65.368,80.895,48.237,299.76,793.97,38,21,2
244.75,219.58,184.67,71.75,160.75,12,9,3
235.79,208.18,173.32,29.315,170.75,73,19,3
