@RELATION train_nonumpixels

@attribute R REAL
@attribute G REAL
@attribute B REAL
@attribute G1 REAL
@attribute G2 REAL
@attribute x_region REAL
@attribute y_region REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@DATA
227.98,236.26,243.02,61.141,46.856,277.24,16.601,0,1
233.57,241.09,249.06,58.295,0.82745,251.54,56.81,0,1
235.91,242.2,250.29,56.047,0.86737,215.7,101.88,0,1
235.77,242.27,249.59,73.499,0.26743,220.85,24.702,0,1
239.15,243.9,250.51,76.134,0.24527,166.74,59.915,1,1
239.15,243.9,250.51,76.134,0.24527,166.74,59.915,0,1
241.6,245.37,250.85,87.007,0.064346,102.96,48.573,0,1
242.28,245.4,251.53,77.447,0.22725,82.094,81.625,0,1
239.15,243.9,250.51,76.134,0.24527,166.74,59.915,0,1
241.49,244.68,251.4,75.828,0.40918,138.01,96.084,0,1
242.28,245.4,251.53,77.447,0.22725,82.094,81.625,1,1
241.42,244.26,251.12,74.463,0.31743,104.61,118.88,0,1
243.37,246.15,251.28,71.371,0.43424,48.52,128.51,1,1
244.18,247.18,252.18,73.591,0.19719,10.311,109.85,0,1
244.05,247.05,252.05,80.936,0.10833,21.788,62.668,0,1
242.14,245.64,251.21,79.667,0.1519,66.289,22.507,0,1
237.28,230.51,222.47,31.827,74.853,22.525,215.84,1,1
244.32,247.76,252.52,70.076,0.27939,23.059,229.84,1,1
243.4,248.27,253.13,73.046,0.37389,20.456,261.33,0,1
242.99,248.01,253.51,70.13,0.4976,19.68,282.54,0,1
234.46,237.79,241.38,66.17,36.935,26.556,320.54,0,1
241.38,246.35,252.23,78.297,0.23432,26.572,344.94,1,1
240.75,245.61,250.88,77.613,0.18855,24.861,387.36,0,1
240.75,245.61,250.88,77.613,0.18855,24.861,387.36,0,1
235.84,239.7,244.47,68.913,19.974,29.295,443.76,0,1
235.84,239.7,244.47,68.913,19.974,29.295,443.76,0,1
238.26,243.33,248.96,71.373,0.97011,22.684,474.32,0,1
230.06,232.87,236.11,49.658,51.666,49.185,492.81,1,1
236.36,242.04,248.81,75.165,0.29509,31.83,560.25,0,1
236.36,242.04,248.81,75.165,0.29509,31.83,560.25,1,1
237.04,241.3,247.64,73.468,0.24158,18.519,581.92,0,1
235.29,240.65,247.97,62.421,0.6377,32.601,616.68,0,1
233.96,238.47,244.24,64.955,2.849,30.875,661.94,0,1
232.22,239.21,246.87,59.42,0.76656,54.936,681,0,1
235.48,239.57,246.01,76.064,0.14151,77.565,721.61,0,1
223,227.61,233.31,44.977,7.38,75.359,723.68,0,1
234.32,239.3,245.31,80.986,0.16589,28.402,748.01,0,1
231.15,235.68,243.13,55.04,0.69524,84.148,762.47,1,1
232.6,237,243.96,68.132,0.38875,69.322,783.62,0,1
102.95,108.44,69.122,-39.845,28.413,391.04,81.26,39,2
97,103.19,54.75,-13.762,34.241,443.16,69.031,38,2
87.467,92.083,48.2,-15.273,29.409,488.13,67.6,56,2
95.25,102.75,36.938,-21.996,33.971,536.5,69.5,63,2
121.51,107.86,45.863,-21.793,34.794,579.43,71,31,2
77.671,76.908,29.855,-11.649,22.512,587.24,51.039,18,2
