@RELATION train_noxyregion

@attribute R REAL
@attribute G REAL
@attribute B REAL
@attribute G1 REAL
@attribute G2 REAL
@attribute num_pixels_regions REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@DATA
227.98,236.26,243.02,61.141,46.856,617,0,1
233.57,241.09,249.06,58.295,0.82745,395,0,1
235.91,242.2,250.29,56.047,0.86737,136,0,1
235.77,242.27,249.59,73.499,0.26743,4044,0,1
239.15,243.9,250.51,76.134,0.24527,4635,1,1
239.15,243.9,250.51,76.134,0.24527,4635,0,1
241.6,245.37,250.85,87.007,0.064346,941,0,1
242.28,245.4,251.53,77.447,0.22725,4528,0,1
239.15,243.9,250.51,76.134,0.24527,4635,0,1
241.49,244.68,251.4,75.828,0.40918,667,0,1
242.28,245.4,251.53,77.447,0.22725,4528,1,1
241.42,244.26,251.12,74.463,0.31743,329,0,1
243.37,246.15,251.28,71.371,0.43424,344,1,1
244.18,247.18,252.18,73.591,0.19719,894,0,1
244.05,247.05,252.05,80.936,0.10833,566,0,1
242.14,245.64,251.21,79.667,0.1519,3963,0,1
237.28,230.51,222.47,31.827,74.853,385,1,1
244.32,247.76,252.52,70.076,0.27939,393,1,1
243.4,248.27,253.13,73.046,0.37389,456,0,1
242.99,248.01,253.51,70.13,0.4976,920,0,1
234.46,237.79,241.38,66.17,36.935,1045,0,1
241.38,246.35,252.23,78.297,0.23432,1313,1,1
240.75,245.61,250.88,77.613,0.18855,1201,0,1
240.75,245.61,250.88,77.613,0.18855,1201,0,1
235.84,239.7,244.47,68.913,19.974,1572,0,1
235.84,239.7,244.47,68.913,19.974,1572,0,1
238.26,243.33,248.96,71.373,0.97011,1055,0,1
230.06,232.87,236.11,49.658,51.666,541,1,1
236.36,242.04,248.81,75.165,0.29509,728,0,1
236.36,242.04,248.81,75.165,0.29509,728,1,1
237.04,241.3,247.64,73.468,0.24158,1723,0,1
235.29,240.65,247.97,62.421,0.6377,393,0,1
233.96,238.47,244.24,64.955,2.849,837,0,1
232.22,239.21,246.87,59.42,0.76656,203,0,1
235.48,239.57,246.01,76.064,0.14151,423,0,1
223,227.61,233.31,44.977,7.38,251,0,1
234.32,239.3,245.31,80.986,0.16589,1355,0,1
231.15,235.68,243.13,55.04,0.69524,446,1,1
