@relation train
@attribute R REAL
@attribute G REAL
@attribute B REAL
@attribute type {1,2,3,4,5,6,7}
@data
232.79,241.18,248.61,1
201.03,192.12,179.81,1
184.74,167.89,146.09,1
184.74,167.89,146.09,1
240.93,244.45,250.48,1
239.15,244,250.59,1
241.68,245.29,251.23,1
242.73,245.81,251.39,1
239.15,244,250.59,1
239.15,244,250.59,1
241.68,244.79,251.6,1
241.07,244.19,251.03,1
243.5,246.5,251.45,1
244.16,247.16,252.16,1
184.74,167.89,146.09,1
184.74,167.89,146.09,1
244.41,248.72,253.01,1
184.74,167.89,146.09,1
243.35,248.19,253.18,1
239.01,243.86,248.6,1
241.84,246.84,252.76,1
241.84,246.84,252.76,1
240.53,245.52,250.82,1
184.74,167.89,146.09,1
240.07,244.78,250.72,1
240.07,244.78,250.72,1
238.38,244.49,251.69,1
237.41,242.38,248.51,1
238.38,244.49,251.69,1
184.74,167.89,146.09,1
237.21,240.99,246.91,1
235.72,240.58,246.95,1
235.17,240.19,246.52,1
235.28,240.38,246.83,1
234.61,239.44,245.53,1
184.74,167.89,146.09,1
234.61,239.44,245.53,1
230.92,235.7,243.26,1
232.65,237.05,243.81,1
125.35,124.75,91.248,2
119.96,118.01,78.644,2
82.243,87.779,43.352,2
154.59,145.48,108.28,2
117.07,104.64,41.812,2
184.74,167.89,146.09,2
97.229,104.76,73.162,2
80.593,79.752,61.756,2
149.24,140.91,108.25,2
149.01,141.07,113.39,2
131.59,121.85,104.73,2
107.5,92.609,64.792,2
121.47,118.98,84.653,2
62.615,64.349,39.52,2
106.52,108.3,81.01,2
184.74,167.89,146.09,2
184.74,167.89,146.09,2
124.89,114.1,76.667,2
124.23,125.37,83.306,2
147.22,142.03,120.11,2
184.74,167.89,146.09,2
184.74,167.89,146.09,2
83.03,81.744,63.847,2
86.916,87.999,71.489,2
184.74,167.89,146.09,2
184.74,167.89,146.09,2
184.74,167.89,146.09,2
184.74,167.89,146.09,3
184.74,167.89,146.09,3
184.74,167.89,146.09,3
240.27,214.44,181.67,3
236.01,212.43,177.71,3
184.74,167.89,146.09,3
184.74,167.89,146.09,3
242.44,222.65,192.6,3
184.74,167.89,146.09,3
243.08,216.54,183.44,3
239.19,215.98,185.04,3
184.74,167.89,146.09,3
238.63,213.97,179.54,3
233.42,207.01,175.06,3
242.05,220.91,191.28,3
247.17,222.64,184.72,3
238.28,214.77,184.42,3
234.31,208.92,177.84,3
204.51,186.46,160.72,3
234.26,210.68,174.16,3
230.65,205.39,167.58,3
238.91,218.08,186.3,3
184.74,167.89,146.09,3
192.25,161.04,132.41,3
184.74,167.89,146.09,3
184.74,167.89,146.09,3
114.46,92.184,71.977,3
202.73,171.91,143.66,3
227.86,199.81,167.19,3
201.4,166.8,132.81,3
221.36,187.53,155.39,3
184.74,167.89,146.09,3
223.58,196.35,159.39,3
237.74,212.94,177.21,3
196.29,177.07,151.63,3
230.25,199.84,155.94,3
215.4,177.85,143.19,3
187.27,164.73,140.93,3
184.74,167.89,146.09,3
184.74,167.89,146.09,3
175.68,149.37,119.8,3
163.21,140.58,114.03,3
184.74,167.89,146.09,3
185.32,148.73,118.4,3
184.74,167.89,146.09,3
184.74,167.89,146.09,3
206.86,167.8,132.36,3
184.74,167.89,146.09,3
184.74,167.89,146.09,3
220.7,187.93,149.22,3
184.74,167.89,146.09,3
240.13,207.21,172.06,3
213.41,190.54,162.19,3
240.38,210.15,172.31,3
184.74,167.89,146.09,3
244.84,219.43,185.11,3
236.21,206.39,169.58,3
242.22,216.24,184.84,3
184.74,167.89,146.09,3
240.08,210.41,170.96,3
232.94,196.54,162.15,3
227.14,194.49,157.35,3
241.44,215.23,178.14,3
221.67,200.61,168.64,3
232.45,201.64,166.24,3
214.87,192.42,161.56,3
242.44,214.57,179.27,3
198.53,178.7,153.18,3
184.74,167.89,146.09,3
184.82,141.52,94.923,3
207.83,174.62,136.92,3
192.73,170.38,143.48,3
214.96,183.24,148.58,3
201.56,175.6,139.9,3
185.93,161.83,148.15,3
184.74,167.89,146.09,3
208.33,176.71,139.02,3
184.74,167.89,146.09,3
197.59,165.44,136.31,3
184.74,167.89,146.09,3
184.74,167.89,146.09,4
170.32,155.9,142.6,4
184.74,167.89,146.09,4
184.74,167.89,146.09,4
162.92,150.97,134.16,4
168.67,153.1,141.26,4
173.73,156.69,143.17,4
172.42,154.42,141.83,4
184.74,167.89,146.09,4
184.74,167.89,146.09,4
184.74,167.89,146.09,4
155.99,143.88,126.42,4
166.34,150.65,136.15,4
184.74,167.89,146.09,4
184.74,167.89,146.09,4
165.31,148.35,135.51,4
162.98,145.19,131.92,4
165.15,149.11,138.26,4
184.74,167.89,146.09,4
163.61,149.52,139.17,4
184.74,167.89,146.09,4
160.11,145.34,133.15,4
166.96,151.66,139.29,4
151.82,132.94,120.46,4
184.74,167.89,146.09,4
167.71,150.94,141.54,4
172.91,156.75,143.37,4
152.04,136.32,127.67,4
149.91,131.8,121.03,4
188.91,192.46,194,5
200.58,203.3,205.3,5
197.58,212.95,223.06,5
184.74,167.89,146.09,5
174.39,175.45,161.18,5
184.74,167.89,146.09,5
191.38,190.75,174.77,5
203.82,194.58,180,5
184.74,167.89,146.09,5
74.339,66.944,64.011,5
90.994,85.097,79.957,5
120.33,115.01,106.78,5
194.36,216.67,227.84,5
112.21,108.07,97.378,5
107.33,104.81,94.415,5
172.38,181.97,182.26,5
181.93,182.43,173.04,5
185.23,208.44,221.91,5
99.917,102.56,100,5
90.038,94.235,91.125,5
184.74,167.89,146.09,5
147.36,155.88,158.27,5
153.01,140.74,124.1,5
163.85,148.19,127.47,5
50.473,36.522,23.757,5
46.227,34.035,20.934,5
184.74,167.89,146.09,5
66.569,68.397,69.434,5
35.607,22.637,12.798,5
184.74,167.89,146.09,6
107.55,83.178,74.187,6
108.47,65.778,57.633,6
184.74,167.89,146.09,6
88.525,65.281,53.735,6
90.06,69.006,60.188,6
184.74,167.89,146.09,6
86.72,65.481,53.277,6
184.74,167.89,146.09,6
184.74,167.89,146.09,7
147.44,160.78,147.94,7
254.99,254.99,254.9,1
254.98,254.98,254.93,1
254.94,255,255,1
254.95,255,255,1
254.99,254.99,254.99,1
251.12,250.75,250.29,1
252.58,252.68,252.49,1
254.97,254.97,254.97,1
165.15,150.79,132.89,1
255,255,254.98,1
254.98,255,255,1
254.99,254.99,254.89,1
254.76,254.83,253.95,1
165.15,150.79,132.89,2
165.15,150.79,132.89,2
159.28,142.22,56.321,2
165.15,150.79,132.89,2
142.75,132.98,66.492,2
165.15,150.79,132.89,2
165.15,150.79,132.89,2
120.55,119.99,84.381,2
165.15,150.79,132.89,2
165.15,150.79,132.89,2
98.983,100.26,71.238,2
134.6,136.91,88.716,2
84.587,79.174,46.552,2
202,173.88,160.18,3
173.8,154.54,136.91,3
168.07,146.08,128.75,3
172.7,139.58,120.08,3
176.03,141.95,117.78,3
143.51,108.92,91.762,3
183.71,140.04,110.53,3
165.15,150.79,132.89,3
177.56,146.09,126.15,3
188.82,152.81,141.64,3
182.52,155.93,141.56,3
175.49,144.57,130.53,3
165.15,150.79,132.89,3
140.02,115.36,100.1,3
151.22,115.3,96.13,3
158.16,123.92,105.81,3
174.93,139.33,118.57,3
163.67,139.17,126.4,3
165.15,150.79,132.89,3
189.06,156.9,145.33,3
252.23,244.52,227.96,3
165.15,150.79,132.89,3
228.27,197.59,175.21,3
165.15,150.79,132.89,3
165.15,150.79,132.89,3
160.7,134.26,116.17,3
162.28,131.63,112.22,3
150.76,120.81,102.38,3
165.15,150.79,132.89,3
172.53,148.2,136.32,3
185.79,155.72,133.65,3
165.15,150.79,132.89,3
166.98,130.67,108.83,3
165.15,150.79,132.89,3
143.33,110.62,98.063,3
145.31,115.08,102.89,3
191.23,161.77,139.53,3
176.99,145.37,125.26,3
165.15,150.79,132.89,3
194.29,155.73,144.05,3
165.15,150.79,132.89,3
191.18,152.75,139.7,3
172.78,152.76,136.88,3
178.21,147.6,137.18,3
179.81,148.92,135.82,3
175.68,142.81,134.18,3
181.85,151.23,139.75,3
186.02,160.97,149.85,3
167.94,148.11,136.76,3
186.83,156.74,143.51,3
165.15,150.79,132.89,3
167.21,135.26,120.88,3
161.33,140.4,129.62,3
158.36,132.34,116.51,3
127.23,104.26,90.808,3
165.88,132.81,111.98,3
174.46,139.94,127.81,3
114.52,93.275,79.556,3
140.5,117.43,101.81,3
139.23,136.62,128.28,4
165.15,150.79,132.89,4
136.13,133.91,122.25,4
136.75,134.64,124.16,4
137.47,134.37,124.64,4
165.15,150.79,132.89,4
165.15,150.79,132.89,4
165.15,150.79,132.89,4
162.03,160.11,150.64,4
133.87,134.61,131.99,4
154.17,150.9,132.03,4
158.82,150.23,130.38,4
165.15,150.79,132.89,4
157.18,148.44,134.33,4
157.63,148.66,134.33,4
152.55,149.95,136.87,4
165.15,150.79,132.89,4
158.87,158.21,149.69,4
163.14,162.27,156.91,4
177.85,181.58,172.18,5
174.8,175.26,175.14,5
166.2,176.48,181.07,5
168.55,175.54,178.06,5
172.12,164.18,152.4,5
174.07,166.42,155.07,5
114.77,106.93,99.939,5
182.39,176.41,163.48,5
165.15,150.79,132.89,5
153.42,151.99,155.69,5
165.15,150.79,132.89,5
103.65,82.709,65.106,5
81.341,71.358,64.601,5
63.948,60.086,50.724,5
165.15,150.79,132.89,5
79.475,57.288,34.712,5
105,80.024,53.21,5
165.15,150.79,132.89,5
83.956,80.558,79.603,5
134.3,49.897,54.254,5
165.15,150.79,132.89,5
165.15,150.79,132.89,5
118.89,101.5,82.027,5
133.66,136.27,139.89,5
163.88,163.83,167.97,5
81.523,74.425,66.342,6
84.093,79.533,75.904,6
84.093,79.533,75.904,6
248.48,252.34,254.77,1
248.47,252.45,255,1
251.39,253.07,254.96,1
252.11,253.61,254.98,1
252.65,253.79,254.88,1
252.19,253.33,254.88,1
252.79,253.85,254.96,1
252.55,253.65,254.98,1
252.79,253.85,254.96,1
252.08,253.08,255,1
252.16,253.53,254.94,1
252.96,253.96,255,1
206.91,198.68,181.14,1
249.2,252.68,254.96,1
252.78,253.86,255,1
247.92,251.81,254.98,1
248.25,252.01,255,1
246.65,250.41,254.62,1
249.56,252.42,254.96,1
252.43,253.58,254.98,1
252.75,253.78,254.97,1
252.16,253.53,254.94,1
252.62,253.7,254.97,1
165.83,165.49,138.92,2
206.91,198.68,181.14,2
139.53,151.38,112.95,2
195.33,194.48,157.61,2
178.32,183.25,128.18,2
206.91,198.68,181.14,2
190.56,191.98,143.5,2
162.35,166.09,136.78,2
124.82,132.48,91.602,2
181.85,177.82,141.63,2
206.91,198.68,181.14,3
206.91,198.68,181.14,3
230.98,212.03,187.42,3
209.27,181.33,157.27,3
225.85,197.77,164.67,3
208.3,182.35,156.85,3
206.91,198.68,181.14,3
206.91,198.68,181.14,3
246.8,225.16,200.43,3
239.3,223,198.17,3
248.94,234.01,213.55,3
250.36,234.86,212.81,3
251.04,235.7,210.75,3
250.77,234.95,209.51,3
246.94,229.43,203.98,3
232.52,218.66,197.26,3
239.49,218.97,198.32,3
246.53,227.25,200.68,3
243.19,221.16,196.35,3
206.91,198.68,181.14,3
206.91,198.68,181.14,3
251.95,235.56,212.13,3
239.47,221.44,196.57,3
206.91,198.68,181.14,3
206.91,198.68,181.14,3
235.09,213.57,188.57,3
244.33,223.72,200.15,3
243.75,222.5,196.6,3
206.91,198.68,181.14,3
249.86,234.42,210.55,3
247.3,236.73,214.37,3
206.91,198.68,181.14,3
247.7,229.74,206.33,3
242.03,220.1,194.59,3
206.91,198.68,181.14,3
206.91,198.68,181.14,3
226.48,199.96,169.71,3
206.91,198.68,181.14,3
246.13,228.18,202.9,3
206.91,198.68,181.14,3
251.98,238.48,214.68,3
206.91,198.68,181.14,3
206.91,198.68,181.14,3
206.91,198.68,181.14,3
251.25,236.9,215.07,3
245.68,228.55,204.78,3
234.27,214.41,195.15,3
228.34,206.87,189.32,3
206.91,198.68,181.14,3
209.83,186.55,166.45,3
206.91,198.68,181.14,3
239.07,217.91,191.45,3
240.35,217.66,193.89,3
244.65,223.78,198.22,3
228.7,204.46,179.48,3
247.05,227.9,203.56,3
227.96,204.39,180.07,3
225.98,201.84,179.36,3
214.87,193.22,171.35,3
227.45,211.95,189.51,3
247.26,224.25,195.78,3
217.74,206.11,185.88,3
206.91,198.68,181.14,3
248.28,229.83,205.49,3
249.43,237.05,216.24,3
246.96,229.02,204.17,3
248.72,229.37,204.35,3
248.31,229.58,201.93,3
250.2,234.93,205.7,3
247.29,231.25,205.68,3
206.91,198.68,181.14,3
245.53,221.5,196.47,3
247.89,232.74,206.59,3
247.07,224.82,199.06,3
242.12,219.93,196.69,3
206.91,198.68,181.14,3
206.91,198.68,181.14,3
248.53,229.06,200.04,3
250.7,229.15,199.87,3
250.8,234.31,209.11,3
249.61,233.61,208.74,3
247.83,231.35,206.03,3
197.32,186.31,179.55,4
197.7,184.7,177.13,4
186.53,174.69,170.29,4
206.91,198.68,181.14,4
201.94,187.79,182.39,4
208.32,198.71,196.88,4
206.91,198.68,181.14,4
206.91,198.68,181.14,4
203.49,194.68,180.02,4
202.06,189.92,184.65,4
201.16,188.78,184.94,4
202.78,189.95,184.57,4
196.61,184.11,177.98,4
202.81,192.74,179.04,4
206.91,198.68,181.14,4
206.91,198.68,181.14,4
206.91,198.68,181.14,4
206.91,198.68,181.14,4
199.21,189.18,184.73,4
206.91,198.68,181.14,4
192.13,182.95,184.14,4
166.16,156.3,155.36,4
204.84,196.19,190.95,4
196.1,182.51,178.97,4
207.72,196.54,192.33,4
199.44,190.45,185.5,4
202.35,193.5,188.44,4
206.68,197.92,194.21,4
202.91,189.86,184.12,4
192.06,182.09,177.56,4
155.28,164.85,170.66,5
211.23,217.93,221.28,5
206.91,198.68,181.14,5
88.524,78.885,80.068,5
215.05,210.29,197.34,5
215.14,220.33,223.67,5
203.6,199.92,187.61,5
219.76,220.69,214.57,5
206.91,198.68,181.14,5
206.91,198.68,181.14,5
206.91,198.68,181.14,5
78.054,74.128,77.042,5
127,125.88,124.01,5
156.35,156.91,160.52,5
195.4,187.81,171.89,5
140.88,147.02,147.33,5
94.129,91.598,93.073,5
206.91,198.68,181.14,5
76.97,79.551,78.117,5
206.91,198.68,181.14,5
120.22,111.37,106.16,5
150.08,144.71,140.84,5
193.48,187.39,176.01,5
165.54,163.08,152.48,5
134.47,133.43,127.3,5
165.52,158.8,144.88,5
121.12,117.24,107.37,5
140.15,138.91,142.93,5
124.48,125.77,121.29,5
122.7,116.55,109.71,5
206.91,198.68,181.14,5
126.6,124.86,132.95,5
171.18,164.93,155.06,5
167.19,162.15,151.15,5
206.39,206.35,199.07,5
209.05,204.78,192.5,5
178.24,175.16,167.52,5
206.91,198.68,181.14,5
210.46,197.1,182.78,5
201.38,203.35,204.87,5
221.65,223.45,215.39,5
188.22,182.41,171.09,5
206.91,198.68,181.14,5
167.45,165.46,159.09,5
206.91,198.68,181.14,5
205.23,206.74,202.19,5
175.15,173.63,168.93,5
190.51,187.52,175.07,5
193.41,187.26,171.86,5
151.84,146.38,142.87,5
178.85,177.58,176.59,5
189.58,189.31,184.66,5
143.58,140.33,140.66,5
163.33,155.83,150.57,5
195.58,191.2,180.39,5
206.91,198.68,181.14,5
133.55,106.66,102.53,6
178.79,154.05,137.51,6
92.729,68.666,58.954,6
95.768,71.428,60.144,6
129.39,100.82,98.318,6
87.975,70.855,69.174,6
254.85,254.85,254.85,1
254.97,255,254.96,1
255,254.98,255,1
254.99,254.99,254.99,1
107.81,104.71,87.264,1
73.568,85.224,52.589,2
85.889,89.287,67.035,2
107.81,104.71,87.264,2
83.922,82.891,63.716,2
83.224,85.241,65.82,2
57.359,59.116,40.984,2
33.318,31.29,12.258,2
67.109,74.158,53.35,2
59.967,62.643,42.705,2
56.481,59.439,41.808,2
65.687,68.435,45.405,2
87.078,87.727,68.256,2
84.247,88.156,62.596,2
85.726,84.859,67.88,2
107.81,104.71,87.264,2
107.81,104.71,87.264,2
107.81,104.71,87.264,3
184.27,151.9,142.48,3
173.26,140.67,133.3,3
190.42,154.43,145.58,3
199.74,173.62,165.16,3
192.92,159.81,149.96,3
194.62,160.33,151.4,3
192.29,166.21,150.85,3
107.81,104.71,87.264,3
153.12,140.42,129.26,3
107.81,104.71,87.264,3
107.81,104.71,87.264,3
172.22,138.16,119.16,3
171.01,146.75,133.16,3
127.51,116.27,97.112,3
158.97,126.39,110.8,3
107.81,104.71,87.264,3
165.82,128.24,110.57,3
107.81,104.71,87.264,3
166.3,141.54,129.56,3
159.16,135.63,121.87,3
189.13,157.5,148.68,3
82.154,61.786,51.023,3
107.81,104.71,87.264,4
129.53,132.85,133.86,4
107.81,104.71,87.264,4
107.81,104.71,87.264,4
138.59,131.85,127.12,4
149.59,152.74,144.4,4
122.34,122.25,112,4
143.82,155.05,158.22,5
107.81,104.71,87.264,5
129.16,127.95,115.46,5
128.64,128.2,117.03,5
129.42,130.64,119.68,5
153.24,158.97,156.4,5
200.22,213.21,221.33,5
163.42,162.15,164.31,5
130.76,130.34,131.74,5
187.23,201.93,210.31,5
186.6,202.32,212.97,5
193.41,211.11,222.19,5
195.54,211.11,221.52,5
201.15,216.52,226.8,5
203.46,218.2,227.88,5
199.7,207.58,221.04,5
148,140.93,137.12,5
193.44,204.83,215.09,5
107.81,104.71,87.264,5
196.51,201.66,213.75,5
67.375,54.535,48.838,5
60.918,57.366,48.294,5
58.472,50.417,39.694,5
192.56,199.58,200.83,5
91.738,87.089,72.727,5
175.77,190.81,199.14,5
110.2,92.766,71.794,5
107.81,104.71,87.264,5
107.81,104.71,87.264,5
96.029,97.307,87.158,5
107.81,104.71,87.264,5
104.63,56.295,51.766,5
76.183,43.565,43.241,5
54.234,51.324,43.269,6
49.237,45.449,40.169,6
254.99,254.99,254.99,1
255,254.99,255,1
138.72,126.81,115.33,1
255,255,254.98,1
138.72,126.81,115.33,1
254.92,254.92,254.92,1
254.7,254.71,254.73,1
64.742,71.256,61.537,2
53.836,56.462,49.28,2
138.72,126.81,115.33,2
138.72,126.81,115.33,3
138.72,126.81,115.33,3
196.61,144.55,96.338,3
239.35,203.51,173.58,3
227.67,183.45,142.68,3
138.72,126.81,115.33,3
169.97,115.72,76.068,3
106.14,71.815,48.183,3
138.72,126.81,115.33,3
154.05,107.98,77.682,3
184.47,158.85,124.76,3
204.61,164.74,128.13,3
138.72,126.81,115.33,3
211.3,168.36,133.61,3
169.45,128.65,98.588,3
138.72,126.81,115.33,3
158.56,111.29,74.352,3
157.62,106.92,70.179,3
78.452,49.147,35.809,3
148.46,100.78,69.211,3
116.99,101.41,86.837,3
138.72,126.81,115.33,3
172.89,140.91,130.31,3
138.72,126.81,115.33,3
151.57,148.86,163.23,4
138.72,126.81,115.33,4
204.35,199.39,200.21,4
174.7,166.53,173.86,4
138.72,126.81,115.33,4
138.72,126.81,115.33,4
138.72,126.81,115.33,4
206.5,195.38,190.9,4
230.38,226.75,234.76,4
233.58,223.16,218.92,4
138.72,126.81,115.33,4
138.72,126.81,115.33,4
138.72,126.81,115.33,4
213.54,212.02,213.01,4
221.87,221.03,220.58,4
216.09,212.63,211.07,4
172.83,174.01,180.3,4
